nome_uf,idade_grupo,populacao_grupo,populacao_estado,proporcao
Rio de Janeiro,35 a 44 anos,2401463,17067152,14.07
Rio de Janeiro,45 a 54 anos,2073125,17067152,12.15
Rio de Janeiro,55 a 64 anos,1678255,17067152,9.83
Rio de Janeiro,65 a 74 anos,1347374,17067152,7.89
Rio Grande do Norte,0 a 14 anos,654658,3546255,18.46
Rio Grande do Norte,15 a 24 anos,742443,3546255,20.94
Rio Grande do Norte,25 a 34 anos,782366,3546255,22.06
Rio Grande do Norte,35 a 44 anos,475828,3546255,13.42
Rio Grande do Norte,45 a 54 anos,393069,3546255,11.08
Rio Grande do Norte,55 a 64 anos,263949,3546255,7.44
Rio Grande do Norte,65 a 74 anos,233942,3546255,6.60
Rio Grande do Sul,0 a 14 anos,1906510,11552033,16.50
Rio Grande do Sul,15 a 24 anos,2093782,11552033,18.12
Rio Grande do Sul,25 a 34 anos,2398844,11552033,20.77
Rio Grande do Sul,35 a 44 anos,1532295,11552033,13.26
Rio Grande do Sul,45 a 54 anos,1427186,11552033,12.35
Rio Grande do Sul,55 a 64 anos,1204482,11552033,10.43
Rio Grande do Sul,65 a 74 anos,988934,11552033,8.56
Rondônia,0 a 14 anos,348152,1703254,20.44
Rondônia,15 a 24 anos,368631,1703254,21.64
Rondônia,25 a 34 anos,379279,1703254,22.27
Rondônia,35 a 44 anos,230699,1703254,13.54
Rondônia,45 a 54 anos,180447,1703254,10.59
Rondônia,55 a 64 anos,118007,1703254,6.93
Rondônia,65 a 74 anos,78039,1703254,4.58
Roraima,0 a 14 anos,186208,693582,26.85
Roraima,15 a 24 anos,172461,693582,24.87
Roraima,25 a 34 anos,154374,693582,22.26
Roraima,35 a 44 anos,78224,693582,11.28
Roraima,45 a 54 anos,51855,693582,7.48
Roraima,55 a 64 anos,31467,693582,4.54
Roraima,65 a 74 anos,18993,693582,2.74
Santa Catarina,0 a 14 anos,1423210,8090990,17.59
Santa Catarina,15 a 24 anos,1535743,8090990,18.98
Santa Catarina,25 a 34 anos,1895570,8090990,23.43
Santa Catarina,35 a 44 anos,1114526,8090990,13.77
Santa Catarina,45 a 54 anos,937548,8090990,11.59
Santa Catarina,55 a 64 anos,688604,8090990,8.51
Santa Catarina,65 a 74 anos,495789,8090990,6.13
São Paulo,0 a 14 anos,7975163,47268907,16.87
São Paulo,15 a 24 anos,8926174,47268907,18.88
São Paulo,25 a 34 anos,10346088,47268907,21.89
São Paulo,35 a 44 anos,6793597,47268907,14.37
São Paulo,45 a 54 anos,5577317,47268907,11.80
São Paulo,55 a 64 anos,4266063,47268907,9.03
São Paulo,65 a 74 anos,3384505,47268907,7.16
Sergipe,0 a 14 anos,469501,2382548,19.71
Sergipe,15 a 24 anos,523956,2382548,21.99
Sergipe,25 a 34 anos,522314,2382548,21.92
Sergipe,35 a 44 anos,321142,2382548,13.48
Sergipe,45 a 54 anos,251026,2382548,10.54
Sergipe,55 a 64 anos,163089,2382548,6.85
Sergipe,65 a 74 anos,131520,2382548,5.52
Tocantins,0 a 14 anos,350986,1636833,21.44
Tocantins,15 a 24 anos,374217,1636833,22.86
Tocantins,25 a 34 anos,352088,1636833,21.51
Tocantins,35 a 44 anos,213674,1636833,13.05
Tocantins,45 a 54 anos,156947,1636833,9.59
Tocantins,55 a 64 anos,104386,1636833,6.38
Tocantins,65 a 74 anos,84535,1636833,5.16
