idade_grupo,total
0 a 14 anos,45931508
15 a 24 anos,34234650
25 a 34 anos,32846723
35 a 44 anos,26896859
45 a 54 anos,21973165
55 a 64 anos,14785033
65 a 74 anos,8582316
75 anos ou mais,5498937
